AI Agent Governance RACI v0.1 | NIST AI RMF - OWASP Agentic Top 10 (2026) - Agent 365
ZTA Check IDs link to ZTA Findings tab - Status auto-reflects last assessment - RACI: R=Responsible A=Accountable C=Consulted I=Informed
NIST AI RMF Function,OWASP Ref,Forrester Category,Control Domain,Control Name & Description,Tool / Control,Risk Level,ZTA Check IDs,ZTA Status,ZTA Date,CISO / AI Risk,AI Gov Board,Product/App Team,Security Eng,MLOps / Platform,Legal & Compliance,Data Governance,IT Ops / Infra,BU Owner
NIST AI RMF - GOVERN,,,,,,,,,,,,,,,,,,
GOVERN,ASI03,Accountability,Agent Identity Governance,"Entra Agent ID - Unique Identity Registration. Every agent must have a registered Entra Agent ID with owner, version, lifecycle status.",Microsoft Entra Agent ID / Agent 365,Critical,"ZT-AI-001,ZT-ID-004,ZT-INFRA-003",Pending,,A,I,C,R,R,C,I,C,C
GOVERN,ASI10,Accountability,Agent Inventory & Shadow Agent Detection,"Maintain authoritative registry; detect unauthorised agents via Agent 365.",Microsoft Agent 365 / Defender for Cloud,Critical,"ZT-AI-002,ZT-INFRA-002",Pending,,I,A,C,R,R,C,I,C,C
GOVERN,ASI09,Accountability,HITL Classification & Escalation Policy,"Classify agent actions by risk tier; define mandatory human approval gates.",Copilot Studio / Power Automate Approvals,Critical,ZT-AI-003,Pending,,A,R,C,C,I,C,I,I,C
GOVERN,ASI02 / ASI04,Security Risk,MCP Server & Tool Registry Governance,"Approve, version, and audit all MCP servers; block unapproved tools.",Agent Governance Toolkit / Azure Policy,Critical,ZT-AI-004,Pending,,A,C,C,R,R,C,I,C,C
GOVERN,,Transparency,Zero Trust Agent Access Architecture,"Apply ZT principles: verify agent identity explicitly, least privilege, assume breach.",Entra ID / Defender XDR / ZT for AI Framework,Critical,"ZT-ID-002,ZT-ID-005,ZT-NET-001,ZT-NET-002",Pending,,A,C,C,R,C,C,I,R,C
NIST AI RMF - MAP,,,,,,,,,,,,,,,,,,
MAP,ASI06,Security Risk,Agent Memory Security,"Memory Context Attack Surface Mapping - identify memory stores; map injection and persistence risk vectors.",Azure AI Foundry / Defender for Cloud AI,Critical,ZT-AI-006,Pending,,A,C,C,R,R,I,C,I,I
MAP,ASI07,Supply Chain,Agent-to-Agent Trust Boundary Mapping,"Map all A2A calls, orchestrator-subagent relationships, and trust propagation.",Agent 365 / Defender Threat Intelligence,High,ZT-AI-012,Pending,,A,C,C,R,R,C,I,I,C
MAP,LLM01 / ASI01,Security Risk,Prompt Injection (Agent),"Indirect Prompt Injection via External Data - map all external data sources feeding agent context; classify injection risk.",Defender for Cloud AI / AI Red Teaming Agent,Critical,ZT-AI-011,Pending,,A,I,C,R,R,I,C,I,I
MAP,ASI02 / ASI03,Security Risk,Tool Security & Least Privilege,"Tool Permission Blast Radius Analysis - map worst-case action scope per tool; enforce least-privilege tool scopes.",Entra Permissions Mgmt / Azure RBAC,Critical,"ZT-AI-005,ZT-INFRA-001",Pending,,A,C,C,R,R,I,I,C,I
MAP,ASI02 / ASI08,Ops Risk,Action Classification,"Reversible vs. Irreversible Action Taxonomy - classify all agent-callable actions by reversibility and blast radius.",Agent Governance Toolkit / Copilot Studio,Critical,ZT-AI-003,Pending,,A,C,R,R,C,C,I,I,C
NIST AI RMF - MEASURE,,,,,,,,,,,,,,,,,,
MEASURE,ASI03,Security Risk,Agent Identity Anomaly Detection,"Monitor Entra Agent ID for privilege escalation, token reuse, out-of-policy scope.",Sentinel / Entra ID Protection / Agent 365,Critical,"ZT-SECOPS-002,ZT-ID-006",Pending,,A,C,I,R,R,I,I,C,I
MEASURE,ASI06,Security Risk,Memory Poisoning Detection & Integrity Checks,"Implement integrity hashing and anomaly detection on memory stores.",Defender for Cloud / Azure Key Vault / Sentinel,Critical,"ZT-AI-006,ZT-INFRA-004",Pending,,A,I,C,R,R,I,C,C,I
MEASURE,ASI09,Ops Risk,HITL Bypass Detection & Coverage Metrics,"Measure % of high-risk actions routed to human review; alert on bypass.",Sentinel / Agent 365 / Purview Audit,Critical,"ZT-AI-003,ZT-SECOPS-001",Pending,,A,I,C,R,R,C,I,I,C
MEASURE,ASI04,Supply Chain,AI Supply Chain Threat Monitoring,"Monitor for AI supply chain TTPs - model substitution, poisoned RAG, malicious plugins (e.g. Sapphire Sleet).",Defender Threat Intelligence / Sentinel,Critical,"ZT-SECOPS-003,ZT-AI-014",Pending,,A,C,I,R,C,I,I,I,I
MEASURE,ASI02,Security Risk,Tool Security & Least Privilege,"Agent Tool Usage Telemetry & Drift Detection - track tool call patterns; flag deviations from baseline; detect privilege creep.",Agent 365 / Application Insights / Sentinel,High,"ZT-AI-005,ZT-SECOPS-001",Pending,,A,I,I,R,R,I,I,I,C
